epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,286.34,1.75624,2.41229,1.81662,0.29045,0.37838,0.26564,0.11471,2.18727,3.74899,2.1511,0.0003,0.0003,0.0703
2,811.758,1.63709,2.04136,1.70847,0.37787,0.47578,0.38429,0.17248,2.09482,3.2365,2.14897,0.000603961,0.000603961,0.039604
3,1140.08,1.65337,1.96825,1.75042,0.61183,0.29185,0.28858,0.11452,2.25429,3.40312,2.552,0.000901784,0.000901784,0.00890178
4,1435.98,1.69065,2.03535,1.78835,0.46815,0.38616,0.31023,0.13529,2.07611,4.68048,2.34668,0.0009703,0.0009703,0.0009703
5,1866.9,1.70076,1.99647,1.79865,0.44574,0.40494,0.397,0.1774,2.05782,2.77053,2.12368,0.0009604,0.0009604,0.0009604
6,2320.19,1.69179,2.01175,1.78314,0.56496,0.42979,0.42095,0.21391,1.89967,2.45996,2.11438,0.0009505,0.0009505,0.0009505
7,2585.3,1.65792,2.05121,1.78335,0.48283,0.34551,0.46872,0.24916,1.80187,2.50408,2.03924,0.0009406,0.0009406,0.0009406
8,2813.65,1.62957,2.01893,1.7665,0.56687,0.53869,0.56816,0.24776,1.881,2.22826,1.92317,0.0009307,0.0009307,0.0009307
9,3026.9,1.62144,1.94056,1.73873,0.48438,0.56486,0.47888,0.21828,1.86782,2.28023,1.94051,0.0009208,0.0009208,0.0009208
10,3499.04,1.6227,1.89774,1.7462,0.50651,0.50106,0.49652,0.2422,1.89095,2.26621,2.01815,0.0009109,0.0009109,0.0009109
11,3774.66,1.63356,1.91831,1.76677,0.62129,0.49855,0.51203,0.22386,1.93451,2.03917,2.02404,0.000901,0.000901,0.000901
12,4066.06,1.62696,1.87088,1.7488,0.49987,0.60174,0.55648,0.29545,1.74122,1.75519,1.81589,0.0008911,0.0008911,0.0008911
13,4335.53,1.5832,1.82259,1.7252,0.74606,0.56998,0.6395,0.31494,1.86059,1.71049,1.91581,0.0008812,0.0008812,0.0008812
14,4602.76,1.55291,1.7221,1.68761,0.59534,0.6407,0.64392,0.33992,1.74666,1.53959,1.76463,0.0008713,0.0008713,0.0008713
15,4869.97,1.55208,1.77519,1.67769,0.57339,0.53637,0.52359,0.26426,1.78091,1.81639,1.86344,0.0008614,0.0008614,0.0008614
16,5133.82,1.52772,1.68621,1.63519,0.63116,0.60033,0.62876,0.32721,1.73058,1.64765,1.83555,0.0008515,0.0008515,0.0008515
17,5400.67,1.53291,1.74026,1.68309,0.45212,0.45134,0.4599,0.21053,2.07608,1.95428,2.14447,0.0008416,0.0008416,0.0008416
18,5667.32,1.51781,1.67836,1.65991,0.75378,0.56998,0.66665,0.3267,1.76412,1.54988,1.78529,0.0008317,0.0008317,0.0008317
19,5928.85,1.50441,1.6651,1.64469,0.64712,0.599,0.65076,0.34486,1.66559,1.53366,1.76067,0.0008218,0.0008218,0.0008218
20,6191.2,1.50026,1.62439,1.65627,0.66667,0.67211,0.67522,0.3668,1.65034,1.46546,1.74643,0.0008119,0.0008119,0.0008119
21,6481.32,1.49715,1.67376,1.68816,0.68784,0.56128,0.62339,0.35587,1.64273,1.58022,1.76239,0.000802,0.000802,0.000802
22,6754.99,1.49922,1.67548,1.6701,0.66781,0.64795,0.64363,0.32917,1.63389,1.54711,1.70786,0.0007921,0.0007921,0.0007921
23,7221.69,1.46247,1.58198,1.61692,0.74102,0.59509,0.67295,0.35848,1.67717,1.39752,1.78367,0.0007822,0.0007822,0.0007822
24,7501,1.45201,1.49808,1.60546,0.68977,0.55127,0.60968,0.34391,1.58439,1.7028,1.71184,0.0007723,0.0007723,0.0007723
25,7765.62,1.43961,1.50891,1.57325,0.71501,0.61612,0.66904,0.39718,1.54588,1.50632,1.63556,0.0007624,0.0007624,0.0007624
26,8027.16,1.45035,1.54554,1.59153,0.61828,0.66075,0.6389,0.35482,1.58527,1.55932,1.70751,0.0007525,0.0007525,0.0007525
27,8294.89,1.46225,1.53208,1.6,0.75151,0.62684,0.68529,0.39204,1.59582,1.43954,1.67861,0.0007426,0.0007426,0.0007426
28,8599.91,1.41372,1.44308,1.54816,0.69764,0.62452,0.62262,0.35386,1.60994,1.60147,1.71457,0.0007327,0.0007327,0.0007327
29,8877.9,1.40792,1.49601,1.59283,0.66752,0.63172,0.66582,0.3503,1.69521,1.46284,1.70753,0.0007228,0.0007228,0.0007228
30,9169.67,1.42793,1.49408,1.57875,0.69434,0.61876,0.66611,0.37267,1.57766,1.45814,1.67796,0.0007129,0.0007129,0.0007129
31,9444.87,1.38483,1.44005,1.55148,0.73186,0.63864,0.65706,0.35857,1.57736,1.4401,1.63667,0.000703,0.000703,0.000703
32,12023.3,1.36839,1.38154,1.51118,0.65065,0.66048,0.66655,0.35292,1.61438,1.47936,1.66339,0.0006931,0.0006931,0.0006931
33,13748.6,1.35213,1.33256,1.50126,0.7292,0.60749,0.65344,0.38511,1.55864,1.41413,1.62137,0.0006832,0.0006832,0.0006832
34,19433.2,1.36206,1.34494,1.53719,0.73608,0.64293,0.68964,0.42332,1.50757,1.31377,1.5701,0.0006733,0.0006733,0.0006733
35,19946.4,1.36665,1.35592,1.53812,0.76761,0.60237,0.68467,0.39115,1.58272,1.34456,1.63095,0.0006634,0.0006634,0.0006634
36,20473.1,1.33685,1.33503,1.51642,0.74695,0.67457,0.70046,0.40556,1.51244,1.22958,1.60804,0.0006535,0.0006535,0.0006535
37,20995.4,1.31315,1.35237,1.51162,0.73749,0.63532,0.68341,0.41001,1.49395,1.33348,1.63292,0.0006436,0.0006436,0.0006436
38,21534.3,1.34162,1.35798,1.52385,0.66108,0.64043,0.64666,0.36976,1.56105,1.40545,1.68125,0.0006337,0.0006337,0.0006337
39,22039.6,1.28053,1.25736,1.47349,0.59531,0.61578,0.66224,0.41523,1.51344,1.42635,1.62615,0.0006238,0.0006238,0.0006238
40,22536,1.31272,1.30903,1.4999,0.61612,0.70118,0.67561,0.39575,1.53106,1.36313,1.64053,0.0006139,0.0006139,0.0006139
