epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,28.2438,0.4214,0.90625,1,0.24024,0.000552995,0.000552995,0.000552995
2,57.2417,0.28316,0.89423,1,0.29441,0.00108671,0.00108671,0.00108671
3,83.4949,0.26416,0.87981,1,0.36317,0.00159842,0.00159842,0.00159842
4,109.826,0.28043,0.86058,1,0.27087,0.00156798,0.00156798,0.00156798
5,136.465,0.24891,0.85577,1,0.42121,0.00153497,0.00153497,0.00153497
6,163.274,0.21116,0.91346,1,0.28117,0.00150197,0.00150197,0.00150197
7,190.284,0.19498,0.87019,1,0.36901,0.00146896,0.00146896,0.00146896
8,217.05,0.21094,0.88221,1,0.28944,0.00143595,0.00143595,0.00143595
9,243.961,0.18357,0.89183,1,0.36606,0.00140295,0.00140295,0.00140295
10,270.975,0.15432,0.86779,1,0.5584,0.00136994,0.00136994,0.00136994
11,298.021,0.16427,0.88942,1,0.29982,0.00133693,0.00133693,0.00133693
12,325.111,0.16313,0.90144,1,0.30028,0.00130393,0.00130393,0.00130393
13,352.059,0.14588,0.88702,1,0.32996,0.00127092,0.00127092,0.00127092
14,378.898,0.11568,0.88462,1,0.45865,0.00123791,0.00123791,0.00123791
15,405.772,0.14121,0.8726,1,0.32619,0.00120491,0.00120491,0.00120491
16,432.592,0.10451,0.89663,1,0.37051,0.0011719,0.0011719,0.0011719
