epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,33.9826,0.39588,0.89898,1,0.25073,0.000553435,0.000553435,0.000553435
2,66.7546,0.30782,0.93411,1,0.17563,0.00108714,0.00108714,0.00108714
3,99.1709,0.30513,0.94436,1,0.15783,0.00159884,0.00159884,0.00159884
4,131.578,0.25351,0.89312,1,0.27441,0.00156798,0.00156798,0.00156798
5,164.061,0.29892,0.94143,1,0.18424,0.00153497,0.00153497,0.00153497
6,196.61,0.23186,0.94729,1,0.15804,0.00150197,0.00150197,0.00150197
7,229.255,0.21707,0.93265,1,0.21539,0.00146896,0.00146896,0.00146896
8,262.155,0.21744,0.92679,1,0.17249,0.00143595,0.00143595,0.00143595
9,295.146,0.20055,0.959,1,0.1128,0.00140295,0.00140295,0.00140295
10,328.131,0.1892,0.96486,1,0.10368,0.00136994,0.00136994,0.00136994
11,360.879,0.18919,0.9429,1,0.15344,0.00133693,0.00133693,0.00133693
12,393.672,0.17471,0.94729,1,0.17349,0.00130393,0.00130393,0.00130393
13,426.624,0.16287,0.93997,1,0.16984,0.00127092,0.00127092,0.00127092
14,459.677,0.16715,0.95754,1,0.11319,0.00123791,0.00123791,0.00123791
15,492.787,0.16573,0.94876,1,0.15158,0.00120491,0.00120491,0.00120491
16,525.94,0.16272,0.93851,1,0.15226,0.0011719,0.0011719,0.0011719
17,559.062,0.13778,0.97218,1,0.11069,0.00113889,0.00113889,0.00113889
18,592.18,0.14413,0.97072,1,0.0996,0.00110589,0.00110589,0.00110589
19,625.208,0.12629,0.97218,1,0.07997,0.00107288,0.00107288,0.00107288
20,658.302,0.16816,0.93558,1,0.1927,0.00103987,0.00103987,0.00103987
21,691.275,0.16184,0.96047,1,0.10608,0.00100687,0.00100687,0.00100687
22,724.219,0.13715,0.97218,1,0.10733,0.000973861,0.000973861,0.000973861
23,757.266,0.10135,0.97072,1,0.08804,0.000940855,0.000940855,0.000940855
24,790.33,0.11425,0.97657,1,0.08436,0.000907848,0.000907848,0.000907848
25,823.438,0.09954,0.96925,1,0.09486,0.000874842,0.000874842,0.000874842
26,856.478,0.09585,0.97657,1,0.07035,0.000841835,0.000841835,0.000841835
27,889.416,0.11531,0.97804,1,0.08376,0.000808828,0.000808828,0.000808828
28,922.525,0.09279,0.97804,1,0.07225,0.000775822,0.000775822,0.000775822
29,955.883,0.10386,0.9634,1,0.08217,0.000742815,0.000742815,0.000742815
30,989.055,0.08716,0.98536,1,0.05324,0.000709809,0.000709809,0.000709809
31,1022.12,0.08505,0.98243,1,0.06592,0.000676802,0.000676802,0.000676802
32,1055.28,0.08127,0.98097,1,0.06815,0.000643795,0.000643795,0.000643795
33,1088.41,0.08347,0.97511,1,0.089,0.000610789,0.000610789,0.000610789
34,1121.53,0.07627,0.97072,1,0.07198,0.000577782,0.000577782,0.000577782
35,1154.68,0.06903,0.98097,1,0.05378,0.000544776,0.000544776,0.000544776
36,1187.84,0.07395,0.98682,1,0.04417,0.000511769,0.000511769,0.000511769
37,1221.11,0.0767,0.97365,1,0.07569,0.000478762,0.000478762,0.000478762
38,1254.17,0.07087,0.97804,1,0.06511,0.000445756,0.000445756,0.000445756
39,1287.24,0.06646,0.98243,1,0.05237,0.000412749,0.000412749,0.000412749
40,1320.54,0.07043,0.98243,1,0.04782,0.000379743,0.000379743,0.000379743
41,1353.71,0.07206,0.97218,1,0.0837,0.000346736,0.000346736,0.000346736
42,1387.02,0.05727,0.98097,1,0.05699,0.000313729,0.000313729,0.000313729
43,1420.53,0.0659,0.97657,1,0.06532,0.000280723,0.000280723,0.000280723
44,1453.76,0.05022,0.97657,1,0.07932,0.000247716,0.000247716,0.000247716
45,1486.94,0.05326,0.98829,1,0.03872,0.00021471,0.00021471,0.00021471
46,1520.16,0.05931,0.98829,1,0.046,0.000181703,0.000181703,0.000181703
47,1553.44,0.05208,0.98682,1,0.04037,0.000148696,0.000148696,0.000148696
48,1586.64,0.04592,0.98829,1,0.03788,0.00011569,0.00011569,0.00011569
49,1619.87,0.04269,0.98682,1,0.03615,8.26832e-05,8.26832e-05,8.26832e-05
50,1653.12,0.05225,0.98243,1,0.04052,4.96766e-05,4.96766e-05,4.96766e-05
