epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,418.587,2.0553,2.73475,2.073,0.37565,0.3676,0.28081,0.12077,2.39423,2.86685,2.37508,9.83607e-05,9.83607e-05,0.0804262
2,918.279,1.85871,2.21856,1.89059,0.44272,0.47732,0.48477,0.21011,2.13733,2.03958,2.02364,0.000198327,0.000198327,0.0605262
3,1460.42,1.78822,2.08558,1.83792,0.57166,0.55834,0.55535,0.30681,1.72242,1.9411,1.7872,0.000298157,0.000298157,0.040626
4,1868.04,1.80753,2.06656,1.85318,0.40938,0.56611,0.50509,0.21138,2.06506,2.27115,2.02355,0.00039775,0.00039775,0.0207256
5,2354.2,1.80947,2.01759,1.86058,0.7497,0.53914,0.622,0.26903,2.11895,1.94107,2.05874,0.000497002,0.000497002,0.000824871
6,2812.85,1.8292,2.06043,1.86719,0.60732,0.55905,0.56417,0.23721,2.09337,1.86386,2.10901,0.000497872,0.000497872,0.000497872
7,3229.27,1.79736,2.04723,1.93174,0.66178,0.57902,0.61493,0.2687,2.00592,1.83537,2.0972,0.000496937,0.000496937,0.000496937
8,3713.42,1.75278,1.955,1.87089,0.79229,0.576,0.69358,0.32344,1.91489,1.64277,1.96659,0.000495835,0.000495835,0.000495835
9,4103.89,1.74552,1.94278,1.8435,0.62259,0.57541,0.64981,0.31674,1.94671,1.65417,1.95577,0.000494564,0.000494564,0.000494564
10,4489.96,1.75281,1.95723,1.84505,0.61078,0.60951,0.62031,0.31332,1.8316,1.70706,1.84424,0.000493127,0.000493127,0.000493127
11,4851.39,1.73794,1.93859,1.83308,0.67755,0.55464,0.63263,0.29419,1.93025,1.61521,1.95763,0.000491524,0.000491524,0.000491524
12,5251.21,1.75403,2.011,1.85202,0.68375,0.7168,0.69139,0.36282,1.78554,1.504,1.88129,0.000489756,0.000489756,0.000489756
13,5660.08,1.77443,1.98096,1.857,0.72649,0.60388,0.66498,0.36489,1.71087,1.44999,1.75635,0.000487825,0.000487825,0.000487825
14,6074.34,1.67194,1.81648,1.77051,0.64474,0.67123,0.66778,0.32598,1.89943,1.58399,1.84798,0.000485732,0.000485732,0.000485732
15,6429.99,1.73631,1.88803,1.83995,0.7139,0.70055,0.71766,0.34578,2.00201,1.42656,1.92299,0.000483478,0.000483478,0.000483478
16,6858.92,1.70374,1.7981,1.77983,0.6892,0.68282,0.70775,0.37659,1.87307,1.4284,1.8474,0.000481065,0.000481065,0.000481065
17,7283.77,1.70884,1.76074,1.76855,0.82332,0.62321,0.74404,0.35844,1.93233,1.41193,1.85198,0.000478494,0.000478494,0.000478494
18,7721.81,1.70182,1.81366,1.80456,0.75355,0.66149,0.72221,0.38396,1.77974,1.3856,1.74868,0.000475768,0.000475768,0.000475768
19,42223,1.66555,1.75394,1.78265,0.67804,0.67922,0.70346,0.36055,1.76963,1.37243,1.76657,0.000472888,0.000472888,0.000472888
20,43131.7,1.68313,1.73384,1.77106,0.71108,0.61012,0.66093,0.34789,1.84114,1.37346,1.82911,0.000469856,0.000469856,0.000469856
