epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,51.0461,1.46627,2.4964,1.41237,0.71178,0.37457,0.56209,0.31081,1.33192,2.76355,1.64349,0.000469529,0.000469529,0.000469529
2,101.058,1.53955,2.10514,1.48472,0.49199,0.50889,0.48969,0.31153,1.35119,2.21689,1.42614,0.000927134,0.000927134,0.000927134
3,151.173,1.54722,2.0215,1.50718,0.47199,0.34287,0.40161,0.22779,1.33136,5.50177,1.44943,0.00136588,0.00136588,0.00136588
4,201.989,1.5756,2.07485,1.50851,0.67383,0.68117,0.70853,0.44322,1.31423,1.87127,1.47992,0.00134412,0.00134412,0.00134412
5,252.631,1.56015,1.98116,1.52216,0.6478,0.52709,0.61895,0.3094,1.53093,2.1646,1.69321,0.00131582,0.00131582,0.00131582
6,303.643,1.55743,1.93883,1.51446,0.60262,0.44153,0.50361,0.29057,1.5178,1.97504,1.69214,0.00128753,0.00128753,0.00128753
7,354.777,1.56114,1.91924,1.48547,0.69066,0.57827,0.67592,0.40913,1.39773,1.71729,1.54252,0.00125923,0.00125923,0.00125923
8,405.487,1.49056,1.82246,1.44155,0.62901,0.64112,0.70382,0.44929,1.3487,1.88208,1.46571,0.00123094,0.00123094,0.00123094
9,456.316,1.50174,1.84488,1.46471,0.74006,0.49305,0.58613,0.37089,1.3695,1.79976,1.50657,0.00120265,0.00120265,0.00120265
10,507.202,1.47466,1.76228,1.42798,0.77015,0.58813,0.75103,0.45633,1.33175,1.71526,1.46839,0.00117435,0.00117435,0.00117435
11,558.44,1.45241,1.66941,1.41123,0.83024,0.52435,0.55751,0.35091,1.44801,2.29466,1.61257,0.00114606,0.00114606,0.00114606
12,610.197,1.43212,1.64995,1.40496,0.72973,0.62345,0.65803,0.44805,1.38987,1.64063,1.60061,0.00111776,0.00111776,0.00111776
13,661.404,1.38284,1.55792,1.36608,0.79046,0.51053,0.65944,0.42738,1.28193,1.6867,1.48443,0.00108947,0.00108947,0.00108947
14,713.081,1.36442,1.57813,1.38872,0.75614,0.57854,0.58747,0.372,1.3905,2.03835,1.6138,0.00106118,0.00106118,0.00106118
15,763.889,1.37195,1.57195,1.3857,0.75327,0.59928,0.67776,0.41517,1.36157,1.46185,1.50663,0.00103288,0.00103288,0.00103288
16,815.086,1.37303,1.51403,1.37017,0.82906,0.59781,0.76556,0.52501,1.19874,1.29607,1.37167,0.00100459,0.00100459,0.00100459
17,866.249,1.38147,1.47968,1.38297,0.88545,0.54176,0.62259,0.43603,1.24166,1.6063,1.45885,0.000976293,0.000976293,0.000976293
18,917.334,1.35579,1.46862,1.34783,0.78334,0.48488,0.62337,0.35884,1.56033,1.78781,1.68514,0.000947999,0.000947999,0.000947999
19,968.653,1.35516,1.42576,1.35774,0.86231,0.5435,0.66617,0.40988,1.34459,1.48668,1.50319,0.000919704,0.000919704,0.000919704
20,1019.67,1.35997,1.46045,1.34426,0.87731,0.56394,0.63092,0.41578,1.32972,1.48792,1.53153,0.00089141,0.00089141,0.00089141
21,1071.25,1.33633,1.4146,1.33749,0.82302,0.5679,0.65867,0.47329,1.21079,1.36385,1.41345,0.000863116,0.000863116,0.000863116
22,1122.33,1.32115,1.36988,1.33664,0.68593,0.6154,0.7032,0.45587,1.2788,1.3773,1.41598,0.000834822,0.000834822,0.000834822
23,1173.41,1.29883,1.3411,1.31927,0.72504,0.64732,0.71886,0.4823,1.30383,1.3124,1.48386,0.000806528,0.000806528,0.000806528
24,1224.48,1.27291,1.27063,1.29795,0.63219,0.60348,0.63008,0.41362,1.4316,1.56552,1.57644,0.000778233,0.000778233,0.000778233
25,1275.64,1.26335,1.31183,1.30197,0.69472,0.61893,0.62479,0.45941,1.17251,1.34258,1.35729,0.000749939,0.000749939,0.000749939
26,1326.71,1.25727,1.28392,1.31129,0.73145,0.5179,0.64644,0.46496,1.31203,1.40135,1.49691,0.000721645,0.000721645,0.000721645
