crop_path,source_img,x1_norm,y1_norm,x2_norm,y2_norm,x1_px,y1_px,x2_px,y2_px,score,crop_w,crop_h
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall001_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall001.jpg,0.229519,0.409004,0.780365,0.687413,63,74,214,125,0.6703,167,56
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall002_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall002.jpg,0.41827,0.30212,0.727428,0.724502,108,58,188,140,0.6927,88,90
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall003_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall003.jpg,0.170864,0.356884,0.932376,0.790952,46,65,256,144,0.8346,230,87
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall004_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall004.jpg,0.135131,0.148571,1.0,0.791029,37,27,275,144,0.6745,250,129
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall005_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall005.jpg,0.099176,0.034359,0.972539,0.928523,27,6,267,169,0.7244,260,178
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall006_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall006.jpg,0.154299,0.084088,1.0,0.933538,42,15,275,170,0.5595,245,171
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall007_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall007.jpg,0.182677,0.225876,0.913205,0.813771,47,43,237,157,0.692,209,125
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall008_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall008.jpg,0.1844,0.246771,1.0,0.869339,56,40,304,144,0.6284,261,114
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall009_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall009.jpg,0.069629,0.179606,0.978307,0.85918,18,34,259,163,0.6656,259,142
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall010_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall010.jpg,0.0,0.151169,0.446051,0.986504,0,28,119,186,0.7495,125,169
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall010_person01.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall010.jpg,0.297232,0.165248,0.679308,0.824291,79,31,181,155,0.5646,112,137
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall011_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall011.jpg,0.169206,0.007866,1.0,0.59617,44,1,264,113,0.6727,231,119
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall012_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall012.jpg,0.109652,0.257789,0.92308,0.939705,20,69,172,252,0.7844,168,201
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall013_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall013.jpg,0.253573,0.084156,0.856994,0.495258,67,15,227,94,0.7182,176,86
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall014_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall014.jpg,0.073001,0.080731,0.92378,0.937181,20,14,254,171,0.6586,257,173
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall016_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall016.jpg,0.117926,0.105988,0.776957,0.394217,21,29,142,108,0.7536,133,87
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall017_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall017.jpg,0.172624,0.359068,1.0,0.938421,38,80,225,211,0.6159,196,143
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall018_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall018.jpg,0.221396,0.0,1.0,0.985632,69,0,311,158,0.7188,256,161
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall019_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall019.jpg,0.119074,0.193934,1.0,0.839133,32,35,275,153,0.7094,255,130
/content/drive/MyDrive/mobilenetv3_step2/person_crops/train/fall020_person00.jpg,/content/drive/MyDrive/mobilenetv3_step2/fall_dataset/train/images/fall020.jpg,0.068407,0.042025,0.945728,0.890327,17,8,248,170,0.5723,254,179
